Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
00;Satellite;70;AO-92;OFF;145,880000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,345000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;71;AO-92 Mid;OFF;145,880000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,350000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;72;AO-92;OFF;145,880000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,355000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;73;AO-92 LOS;OFF;145,880000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,360000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;74;PO-101 AOS;OFF;145,900000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;437,490000;OFF;7,600000;FM;OFF;1;TONE;141,3Hz;141,3Hz;023;BOTH N;;;;;
00;Satellite;75;PO-101;OFF;145,900000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;437,495000;OFF;7,600000;FM;OFF;1;TONE;141,3Hz;141,3Hz;023;BOTH N;;;;;
00;Satellite;76;PO-101 Mid;OFF;145,900000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;437,500000;OFF;7,600000;FM;OFF;1;TONE;141,3Hz;141,3Hz;023;BOTH N;;;;;
00;Satellite;77;PO-101;OFF;145,900000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;437,505000;OFF;7,600000;FM;OFF;1;TONE;141,3Hz;141,3Hz;023;BOTH N;;;;;
00;Satellite;78;PO-101 LOS;OFF;145,900000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;437,510000;OFF;7,600000;FM;OFF;1;TONE;141,3Hz;141,3Hz;023;BOTH N;;;;;
00;Satellite;79;ISS AOS;OFF;437,810000;OFF;0,600000;FM;OFF;1;OFF;67,0Hz;67,0Hz;023;BOTH N;;;;;;ON;145,990000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
