Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Scan Sel,Bank,Bank CH #,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Data Mode
76,436.8,145.85, ,Split,FM,SO-50,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,75,,Off,0,,,,1,Off
77,436.795,145.85, ,Split,FM,SO-50 Mid,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,76,,Off,0,,,,1,Off
78,436.79,145.85, ,Split,FM,SO-50,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,77,,Off,0,,,,1,Off
79,436.785,145.85, ,Split,FM,SO-50 LOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,78,,Off,0,,,,1,Off
80,436.805,145.85, ,Split,FM,AO-27 AOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,79,,Off,0,,,,1,Off
81,436.8,145.85, ,Split,FM,AO-27,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,80,,Off,0,,,,1,Off
82,436.795,145.85, ,Split,FM,AO-27 Mid,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,81,,Off,0,,,,1,Off
83,436.79,145.85, ,Split,FM,AO-27,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,82,,Off,0,,,,1,Off
84,436.785,145.85, ,Split,FM,AO-27 LOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,83,,Off,0,,,,1,Off
85,437.21,144.35, ,Split,FM,LilacSat-2 AOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,84,,Off,0,,,,1,Off
86,437.205,144.35, ,Split,FM,LilacSat-2,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,85,,Off,0,,,,1,Off
87,437.2,144.35, ,Split,FM,LilacSat-2 Mid,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,86,,Off,0,,,,1,Off
88,437.195,144.35, ,Split,FM,LilacSat-2,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,87,,Off,0,,,,1,Off
89,437.19,144.35, ,Split,FM,LilacSat-2 LOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,88,,Off,0,,,,1,Off
